sample_id,gene,expression,coverage,quality_score
S001,GENE_0001,4.126,119,30.6
S001,GENE_0002,3.998,92,25.9
S001,GENE_0003,5.970,296,25.6
S001,GENE_0004,3.627,332,39.6
S001,GENE_0005,0.638,103,30.5
S001,GENE_0006,6.692,196,22.0
S001,GENE_0007,5.407,403,22.7
S001,GENE_0008,4.050,392,22.1
S001,GENE_0009,4.928,61,29.9
S001,GENE_0010,5.965,123,23.4
S001,GENE_0011,4.404,435,34.4
S001,GENE_0012,5.155,362,31.1
S001,GENE_0013,6.027,496,27.4
S001,GENE_0014,5.399,82,38.9
S001,GENE_0015,5.670,178,24.4
S001,GENE_0016,6.242,353,34.9
S001,GENE_0017,4.228,192,32.6
S001,GENE_0018,3.703,421,29.4
S001,GENE_0019,7.979,141,29.1
S001,GENE_0020,4.705,71,28.6
S001,GENE_0021,5.037,390,37.0
S001,GENE_0022,6.696,454,36.6
S001,GENE_0023,8.774,146,28.4
S001,GENE_0024,5.456,102,31.4
S001,GENE_0025,4.902,80,22.0
S001,GENE_0026,7.391,94,28.6
S001,GENE_0027,3.690,364,27.3
S001,GENE_0028,4.568,409,29.7
S001,GENE_0029,6.697,54,38.9
S001,GENE_0030,6.817,60,28.3
S002,GENE_0001,7.334,119,26.8
S002,GENE_0002,5.975,114,36.4
S002,GENE_0003,4.963,388,26.1
S002,GENE_0004,5.190,169,29.3
S002,GENE_0005,3.678,57,23.7
S002,GENE_0006,7.040,69,37.3
S002,GENE_0007,3.538,301,24.8
S002,GENE_0008,5.283,238,22.9
S002,GENE_0009,3.035,106,21.2
S002,GENE_0010,7.051,281,26.9
S002,GENE_0011,6.174,98,24.6
S002,GENE_0012,3.869,362,27.8
S002,GENE_0013,4.781,201,22.0
S002,GENE_0014,2.314,188,21.8
S002,GENE_0015,4.782,375,35.7
S002,GENE_0016,4.830,160,28.8
S002,GENE_0017,6.562,219,35.9
S002,GENE_0018,1.385,89,32.4
S002,GENE_0019,7.324,90,30.2
S002,GENE_0020,4.113,372,22.2
S002,GENE_0021,5.299,363,36.5
S002,GENE_0022,5.527,369,31.8
S002,GENE_0023,4.195,276,37.6
S002,GENE_0024,4.586,316,36.8
S002,GENE_0025,6.002,402,29.4
S002,GENE_0026,2.571,499,33.4
S002,GENE_0027,5.540,322,32.2
S002,GENE_0028,4.759,314,31.6
S002,GENE_0029,2.554,74,39.1
S002,GENE_0030,3.702,151,21.3
S003,GENE_0001,6.570,432,39.3
S003,GENE_0002,2.907,307,25.2
S003,GENE_0003,7.490,169,23.4
S003,GENE_0004,6.055,187,31.7
S003,GENE_0005,4.907,90,20.2
S003,GENE_0006,3.825,235,28.2
S003,GENE_0007,5.087,130,22.4
S003,GENE_0008,8.200,411,36.2
S003,GENE_0009,5.063,308,23.6
S003,GENE_0010,5.703,246,25.1
S003,GENE_0011,8.626,236,35.3
S003,GENE_0012,6.705,334,27.4
S003,GENE_0013,6.347,379,33.2
S003,GENE_0014,3.931,482,35.4
S003,GENE_0015,5.485,242,27.7
S003,GENE_0016,5.141,143,26.6
S003,GENE_0017,3.822,439,20.8
S003,GENE_0018,4.581,238,32.6
S003,GENE_0019,6.902,82,38.5
S003,GENE_0020,6.138,272,21.1
S003,GENE_0021,4.482,408,25.3
S003,GENE_0022,3.333,157,32.0
S003,GENE_0023,4.110,52,38.2
S003,GENE_0024,4.307,428,33.0
S003,GENE_0025,6.493,267,31.5
