sample_id,condition,tissue,replicate,collection_date,collection_time,experimenter,batch
S001,control,brain,1,2024-01-15,15:46,Carol,Batch_A
S002,control,brain,2,2024-01-30,10:54,Bob,Batch_A
S003,control,liver,1,2024-01-25,08:53,Alice,Batch_A
S004,control,liver,2,2024-01-02,11:06,Carol,Batch_A
S005,control,muscle,1,2024-01-04,13:38,Alice,Batch_B
S006,control,muscle,2,2024-01-13,17:17,Carol,Batch_B
S007,control,kidney,1,2024-01-18,16:48,Bob,Batch_B
S008,control,kidney,2,2024-01-29,16:05,Carol,Batch_B
S009,treatment_A,brain,1,2024-01-25,12:48,Carol,Batch_C
S010,treatment_A,brain,2,2024-01-31,08:47,David,Batch_C
S011,treatment_A,liver,1,2024-01-21,11:10,David,Batch_C
S012,treatment_A,liver,2,2024-01-19,09:49,David,Batch_C
S013,treatment_A,muscle,1,2024-01-11,11:29,Bob,Batch_D
S014,treatment_A,muscle,2,2024-01-10,08:07,Carol,Batch_D
S015,treatment_A,kidney,1,2024-01-24,08:18,Bob,Batch_D
S016,treatment_A,kidney,2,2024-01-19,16:28,Bob,Batch_D
S017,treatment_B,brain,1,2024-01-21,14:22,David,Batch_E
S018,treatment_B,brain,2,2024-01-08,17:59,Carol,Batch_E
S019,treatment_B,liver,1,2024-01-12,13:20,David,Batch_E
S020,treatment_B,liver,2,2024-01-25,16:35,Bob,Batch_E
S021,treatment_B,muscle,1,2024-01-01,08:40,Bob,Batch_F
S022,treatment_B,muscle,2,2024-01-27,16:45,Alice,Batch_F
S023,treatment_B,kidney,1,2024-01-01,15:11,Alice,Batch_F
S024,treatment_B,kidney,2,2024-01-14,08:47,Bob,Batch_F
